index,Target_ID,Target_Class,Frame,Px,Py,Wx,Wy,Time,RWx_m,RWy_m,t,Vx,Vy,ax,ay,jerkx,jerky,SPF,FPS,real_world_len,real_world_wide
574,13,bicycleperson,90,581,102,862.6740492576588,137.93773699451236,9.0,23.95390865254467,1.2736606056325601,4.0,-2.6620586544265183,0.06321563759350224,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
584,13,bicycleperson,100,572,91,767.4630224276173,152.9043788065056,10.0,20.945373724065213,1.3438826686619458,1.0,-3.0085349284794525,0.07022206302938572,-0.34647627405293413,0.007006425435883479,-0.34647627405293413,0.007006425435883479,0.09999999999999999,10.0,40,2.3
636,17,bicycleperson,90,531,199,1238.1473436396366,141.01409270157149,9.0,35.423981963712286,1.3319451988976923,,-2.6446238710553303,-0.025863419400145693,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
646,17,bicycleperson,100,549,163,1157.1704900940604,140.65587107476026,10.0,32.779358092656956,1.3060817794975466,1.0,-2.6446238710553303,-0.025863419400145693,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
716,17,bicycleperson,170,576,69,441.50296392845377,167.8030596614654,17.0,13.489499154387886,1.5833305501782895,7.0,-2.7556941340384387,0.039606967240106136,-0.015867180426158343,0.009352912377178833,-0.015867180426158343,0.009352912377178833,0.09999999999999999,10.0,40,2.3
726,17,bicycleperson,180,578,67,396.0318373358364,167.24306818997346,18.0,8.249034861246214,1.362468265039694,1.0,-5.2404642931416685,-0.22086228513859552,-2.48477015910323,-0.26046925237870167,-2.48477015910323,-0.26046925237870167,0.09999999999999999,10.0,40,2.3
736,17,bicycleperson,190,581,65,345.3930330059996,165.01230132475317,19.0,4.925483720833621,1.0642875927260491,1.0,-3.323551140412593,-0.29818067231364487,1.9169131527290757,-0.07731838717504935,1.9169131527290757,-0.07731838717504935,0.09999999999999999,10.0,40,2.3
748,17,bicycleperson,210,588,60,198.4108669357033,159.41329307022644,21.0,4.592469131176403,0.5721933832073658,2.0,-0.16650729482860926,-0.24604710475934155,1.5785219227919918,0.02606678377715166,1.5785219227919918,0.02606678377715166,0.09999999999999999,10.0,40,2.3
775,17,bicycleperson,360,565,103,878.7058239280192,152.37979826556275,36.0,16.233450106827245,-0.8801848258613958,15.0,0.7760653983767227,-0.09682521393791742,0.06283817954702213,0.009948126054761608,0.06283817954702213,0.009948126054761608,0.09999999999999999,10.0,40,2.3
823,18,bicycleperson,90,542,95,824.4644426187748,180.37686238876603,9.0,24.83224142181336,2.1321576267550877,,-7.632569774376151,0.007522993994532268,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
833,18,bicycleperson,100,545,73,549.9821052440589,205.534022047685,10.0,17.199671647437214,2.13968062074962,1.0,-7.632569774376151,0.007522993994532268,0.0,0.0,0.0,0.0,0.09999999999999999,10.0,40,2.3
868,18,bicycleperson,170,506,137,1084.642795792039,177.0037849815407,17.0,29.568916601742966,2.111473838770935,7.0,1.767034993472251,-0.004029540282669267,1.3428006811212003,-0.0016503620396002194,1.3428006811212003,-0.0016503620396002194,0.09999999999999999,10.0,40,2.3
878,18,bicycleperson,180,506,137,1084.642795792039,177.0037849815407,18.0,29.56891660174297,2.092182667404123,1.0,0.0,-0.019291171366812243,-1.767034993472251,-0.015261631084142975,-1.767034993472251,-0.015261631084142975,0.09999999999999999,10.0,40,2.3
