Target_ID_max,Vy_min,TIT_T3_max,ay_min,TIT_T2_max,Gap_Factor_mean,ay_max,ay_mean,TIT_T1_max,TET_T1_max,TTC_min,TET_T3_max,k=3,k=4,k=5,k=6,k=7,k=8,k=9
180,-0.0277103432797445,0.0,-0.0079368428344084,0.0,0.0,0.0057505757830234,-0.0002903485167792,0.0,0.0,10.0,0.0,1,2,3,3,4,0,0
183,0.4113632994723462,2.0868764548668635,-0.1126076101076372,1.0868764548668632,0.0,0.3630333235647842,0.0044856490890798,0.0868764548668632,0.1,1.9131235451331368,0.1,2,3,2,4,2,4,5
184,-0.0285126178948764,0.0,0.0,0.0,0.6625299453735352,0.0,0.0,0.0,0.0,10.0,0.0,1,2,3,3,4,0,0
195,-0.1234627868706033,0.0,0.0,0.0,0.0,0.0325283161164215,0.0148156481398622,0.0,0.0,7.075453979018623,0.0,1,0,0,0,0,1,1
206,-0.0845548976984171,3.9127219348414486,-0.037033126004893,2.9127219348414486,0.4052785613263647,0.0286618554078377,-6.403657088334359e-05,1.9127219348414488,0.1,0.0872780651585514,0.1,2,3,4,5,6,6,7
238,-0.4117097972446368,0.0,0.0,0.0,0.0,0.0619668101090371,0.0254355942559403,0.0,0.0,10.0,0.0,1,2,3,3,4,0,0
239,0.0316755036372495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1,2,3,3,4,0,0
252,0.0039241760131315,0.4760950986231007,-0.0053403105436725,0.0,0.4014331751399569,0.0124224845525959,0.000870103980706,0.0,0.0,3.5239049013768997,0.1,0,1,1,1,1,2,2
253,-0.0241303473799691,1.7958504161463655,-0.0226361587235179,0.7958504161463655,0.2291904962424076,0.023757840352489,0.0044307861273561,0.0,0.0,2.2041495838536345,0.1,2,3,2,2,2,3,3
262,-0.1008351611932019,3.87643498642016,-0.0256603266534913,2.8764349864201595,1.34413599688067,0.0786473002871663,0.0055057109243702,1.87643498642016,0.1,0.1235650135798403,0.1,2,3,4,5,6,6,7
265,-0.0613257665693067,3.76202344079593,-0.0044886201710099,2.76202344079593,1.2414459812095742,0.0270462058819171,0.0060212324519898,1.76202344079593,0.1,0.2379765592040698,0.1,2,3,4,5,6,6,7
266,-0.0968051568262899,3.600527095034079,-0.0382052857069021,2.600527095034079,0.7877367436210044,0.0359029117098501,0.0131827296398354,1.6005270950340786,0.1,0.3994729049659213,0.1,2,3,4,5,6,6,7
267,0.255398966036178,1.0801559517921158,-0.057253049273149,0.0801559517921157,0.5320586079642886,0.0,-0.0190843497577163,0.0,0.0,2.919844048207884,0.1,2,1,2,2,2,3,3
