Target_ID_max,Target_Class_max,Vx_max,Vy_max,ax_max,ay_max,TIT_T1_max,TET_T1_max,TIT_T2_max,TET_T2_max,TIT_T3_max,TET_T3_max,Gap_Factor_max,Vx_min,Vy_min,ax_min,ay_min,TTC_min,Gap_Factor_min,Vx_mean,Vy_mean,ax_mean,ay_mean,Gap_Factor_mean
63,person,-0.0005647957445766,-0.0013135090040097,0.0,0.0,0.5449418046896377,0.1,1.5449418046896377,0.1,2.5449418046896377,0.1,0.790071828024728,-0.0005647957445766,-0.0013135090040097,0.0,0.0,1.4550581953103623,0.790071828024728,-0.0005647957445766,-0.0013135090040097,0.0,0.0,0.790071828024728
64,bicycleperson,0.0796363510264761,0.0031877580342477,0.0392259588897765,0.0014394760053559,0.0,0.0,0.0,0.0,0.0,0.0,0.4901955525080363,-0.0075306099278051,-0.0019126325549361,-0.0650538929253983,-0.0014005497787492,4.223365209249057,0.0,0.006168146402744356,0.0006652231369346095,-0.00028249825958714806,-2.8529692901257134e-05,0.09292040647022308
86,bicycleperson,-1.0821165859242257,-0.1559321919444452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0821165859242257,-0.1559321919444452,0.0,0.0,10.0,0.0,-1.0821165859242257,-0.1559321919444452,0.0,0.0,0.0
88,bicycleperson,-0.9615375105600066,0.0666436518653279,0.0602418703354032,0.057797470211814,0.0,0.0,0.0,0.0,0.0,0.0,0.1841008464495341,-1.0821165859242257,-0.1559321919444452,-0.0910138265085507,0.0,4.223365209249057,0.0,-1.032463965069284,-0.06919291433441394,0.008331663494340233,0.024730649312196977,0.02045564960550379
91,bicycleperson,0.1278835704910008,0.1320077194008797,0.2726432596007591,0.0669317974454983,0.0,0.0,0.0,0.0,0.0,0.0,0.4901955525080363,-1.2146670553492849,-0.0583467163404085,-1.164983213315331,-0.0896408248336009,10.0,0.0,-0.9565455408346173,-0.006818772330787123,-0.06202623947823665,-8.881515422423495e-05,0.10395456996618532
96,bicycleperson,-0.4142181616917284,-0.0505405006996384,0.8549756918919869,0.0214117906703266,0.0,0.0,0.0,0.0,0.0,0.0,0.9397604068120321,-1.2691938535837153,-0.0833553650822183,-0.1723160534939509,0.0,8.435901079734753,0.0,-0.9692919038637431,-0.06979870131899166,0.17066490959950897,0.00820371609564495,0.3812155922253927
97,bicycleperson,-1.12403931648182,-0.0712015779555441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4515747626622517,-1.12403931648182,-0.0712015779555441,0.0,0.0,10.0,1.438879390557607,-1.12403931648182,-0.0712015779555441,0.0,0.0,1.4452270766099293
99,bicycleperson,-1.2530722104700018,0.0202093967173782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6403531233469646,-1.2530722104700018,0.0202093967173782,0.0,0.0,10.0,1.496499200661977,-1.2530722104700018,0.0202093967173782,0.0,0.0,1.5684261620044708
128,bicycleperson,3.836575905701519,0.1006093476252321,1.5030955300819038,0.0588795830803443,1.4864786152992135,0.1,2.4864786152992133,0.1,3.4864786152992133,0.1,1.7677319645881653,-3.241764578504295,-0.0572732403882536,-2.7415348826373864,-0.0287468536151236,0.5135213847007865,0.0,-0.42138287976869054,0.0063010415679409905,-0.14261034574340364,-0.002383216358284776,0.19883727238635823
155,bicycleperson,1.148821625145921,0.232142979975175,0.0732099143074833,0.048948381358453,0.8865070568064166,0.1,1.8865070568064166,0.1,2.8865070568064164,0.1,0.5420818328857422,0.9850530543669932,0.038653912624244,-0.1009382156504301,0.0,1.1134929431935834,0.0,1.0764467753912226,0.1342395213889325,-0.01251345089043707,0.027641295335847273,0.2851310423442296
